zip,totkbtu,avgkbtu
95043,5767710.197,25427.0839
95044,4907082.774,25758.96469
95045,70340548.38,45778.36004
95046,144914066.6,79777.4449
95050,460881300,802532.9541
95051,738082200,912639.7659
95054,262056400,766769.921
95060,862844158.8,49267.94859
95062,740168143.9,50888.07726
95064,13853137.38,33554.89254
95065,156208686.4,51341.65159
95066,344327368.1,62463.15626
95070,1087486389,88119.58665
95073,191816223.5,54921.47419
95075,13285917.41,62049.89837
95076,1138014298,46714.39725
95110,271116899.5,37642.25076
95111,797324234,51618.66282
95112,827264138.6,39565.38864
95113,36234729.51,27075.78212
95116,637803209.4,45500.02311
95117,546938168.3,43477.72356
95118,663696204.8,51015.2764
95119,203211487.9,57068.98735
95120,1036262617,72286.42287
95121,597205547.8,57720.65436
95122,695231440.1,50297.78119
95123,1317198027,51882.31838
95124,1109276442,57439.10505
95125,1300312991,58248.93182
95126,645941714.2,39434.98171
95127,980855109,56084.50374
95128,687243971.1,45081.72071
95129,779462665.1,48331.16433
95130,282848353,50930.36365
95131,487114037.3,48309.80832
95132,710010917.3,52529.05319
95133,429648195.7,47885.9599
95134,510713377.1,38440.03749
95135,482047694.5,59042.03301
95136,856270098.1,52403.77848
95138,446976197.5,67979.66293
95139,148753371.2,58644.06993
95140,3783481.595,32546.07824
95141,0,0
95148,775965115.5,59412.70773
95202,115548723.6,35187.05691
95203,327391548.3,52334.60456
95204,750202383,58269.4097
95205,673057788.5,57355.36403
95206,1123749817,58300.83538
95207,1136442114,54156.75826
95209,958659565.8,65534.92073
95210,762019695.8,58561.34148
95211,0,0
95212,603812250.3,74550.16779
95215,432721170.1,58922.83116
95219,739364113.5,59283.64367
95220,150430189.6,57280.00822
95222,78868170.05,32084.14268
95223,107191224.9,13761.13636
95224,6963771.616,28825.54653
95225,31970030.32,39315.47078
95227,25556755.63,54472.17476
95228,76587781.2,26590.67137
95229,4711389.627,28381.86522
95230,5993338.063,32411.02152
95231,57980825.5,62675.19782
95232,6250337.159,29846.41699
95233,6493428.365,24027.48701
95236,88694624.14,52409.40756
95237,83241575.78,65373.17919
95240,652476881.9,215744.4642
95242,496180664.9,251062.8116
95245,20748441.65,31192.84639
95246,23039356.96,30268.4786
95247,65894405.71,28752.87693
95248,17518365.07,30160.74331
95249,77132967.91,46765.67612
95251,9364196.194,30870.97646
95252,179754368.8,35935.9304
95254,17766915.71,35790.32877
95255,30390167.8,27126.00518
95257,7238503.612,26131.78199
95258,113275575.8,72461.78008
95301,738448118.5,61836.69292
95303,0,0
95304,281322594.5,66440.55418
95306,14927024.35,28770.36495
95307,461545500,725206.3584
95309,3530624.839,27691.17521
95310,26097236.4,34699.92651
95311,30529475.31,24845.96159
95313,4989500,814058.4636
95315,96631300,693339.472
95316,64669300,755372.1711
95317,9965415.55,45958.87264
95318,5702098.126,26327.50193
95319,37434900,690521.5587
95320,255857794.4,56316.64783
95321,76848813.45,20766.67556
95322,186518702.1,50146.79407
95323,6831000,737158.2734
95324,64369100,693134.6016
95325,0,0
95326,98571000,785661.0541
95327,79793634.99,29798.76202
95328,39492500,631585.2602
95329,34569191.68,28690.10998
95330,410426642.5,63901.67957
95333,29996973.07,32831.4189
95334,223327279.5,62675.01781
95335,6186495.989,9031.381005
95336,1031625644,57294.3528
95337,782150940.3,59170.53848
95338,153627005.8,27237.62348
95340,836994662.2,60434.60936
95341,445671436.4,57334.91181
95345,8323093.776,24437.76005
95346,26093343.15,16092.10185
95348,617009123.8,61689.73112
95350,759260500,770793.4977
95351,437101500,742002.8293
95354,322204100,710763.9365
95355,835430500,771632.5627
95356,485639200,865409.9198
95357,109391300,788998.1067
95358,280286600,771935.6001
95360,242806504.2,54922.10436
95361,703144502.8,59689.58058
95363,272497284.3,345044.2823
95364,9960771.625,9169.870311
95365,76092115.41,53607.86148
95366,362617360.2,70159.78875
95367,468015571.2,76377.34887
95368,153468800,700344.387
95369,13597998.59,34338.38029
95370,375608370.1,27942.3735
95372,22410502.67,27752.94448
95374,26277864.94,46175.77673
95375,4307634.32,9797.500348
95376,1104772216,58589.20541
95377,676259373.5,67012.16179
95379,47567298.24,26088.09775
95380,436436800,685579.1024
95382,488565100,774782.7673
95383,60560999.72,19457.87027
95385,0,0
95386,88688700,665810.2537
95387,14868723.68,40199.32054
95388,205820704.7,54390.50721
95389,10285904.37,21966.69379
95391,231352700,902194.3325
95401,756970169.7,51719.15481
95403,920201797.3,53888.66948
95404,1004193721,58081.71928
95405,594811767.1,57987.11454
95407,699061473.1,56054.47843
